As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
2020-09-05,1,1,1,Cobra Kai,TV Show,,"Aug 28, 2020",8,80
2020-09-05,2,3,-,"Love, Guaranteed",Movie,Yes,"Sep 3, 2020",2,17
2020-09-05,3,2,-,The Smurfs,Movie,,"Sep 1, 2020",4,35
2020-09-05,4,-,-,Away,TV Show,Yes,"Sep 4, 2020",1,7
2020-09-05,5,5,-,Due Date,Movie,,"Sep 1, 2020",4,20
2020-09-05,6,4,-,"Sister, Sister",TV Show,,"Sep 1, 2020",4,28
2020-09-05,7,6,-,Chefâs Table: BBQ,TV Show,Yes,"Sep 2, 2020",3,11
2020-09-05,8,7,2,Lucifer,TV Show,,"Dec 15, 2018",15,124
2020-09-05,9,8,-,The Boss Baby: Get That Baby,Movie,Yes,"Sep 1, 2020",3,9
2020-09-05,10,10,9,Cocomelon,TV Show,,"Jun 1, 2020",9,22
2020-09-06,1,1,1,Cobra Kai,TV Show,,"Aug 28, 2020",9,90
2020-09-06,2,4,-,Away,TV Show,Yes,"Sep 4, 2020",2,16
2020-09-06,3,2,-,"Love, Guaranteed",Movie,Yes,"Sep 3, 2020",3,25
2020-09-06,4,3,-,The Smurfs,Movie,,"Sep 1, 2020",5,42
2020-09-06,5,5,-,Due Date,Movie,,"Sep 1, 2020",5,26
2020-09-06,6,6,-,"Sister, Sister",TV Show,,"Sep 1, 2020",5,33
2020-09-06,7,7,-,Chefâs Table: BBQ,TV Show,Yes,"Sep 2, 2020",4,15
2020-09-06,8,9,-,The Boss Baby: Get That Baby,Movie,Yes,"Sep 1, 2020",4,12
2020-09-06,9,8,2,Lucifer,TV Show,,"Dec 15, 2018",16,126
2020-09-06,10,10,9,Cocomelon,TV Show,,"Jun 1, 2020",10,23
2020-09-07,1,2,-,Away,TV Show,Yes,"Sep 4, 2020",3,26
2020-09-07,2,1,1,Cobra Kai,TV Show,,"Aug 28, 2020",10,99
2020-09-07,3,3,-,"Love, Guaranteed",Movie,Yes,"Sep 3, 2020",4,33
2020-09-07,4,5,-,Due Date,Movie,,"Sep 1, 2020",6,33
2020-09-07,5,4,-,The Smurfs,Movie,,"Sep 1, 2020",6,48
2020-09-07,6,7,-,Chefâs Table: BBQ,TV Show,Yes,"Sep 2, 2020",5,20
2020-09-07,7,6,-,"Sister, Sister",TV Show,,"Sep 1, 2020",6,37
2020-09-07,8,9,3,Lucifer,TV Show,,"Dec 15, 2018",17,129
2020-09-07,9,-,-,Anaconda,Movie,,"Sep 1, 2020",1,2
2020-09-07,10,-,-,Puss in Boots,Movie,,"Sep 1, 2020",1,1
2020-09-08,1,1,-,Away,TV Show,Yes,"Sep 4, 2020",4,36
2020-09-08,2,2,1,Cobra Kai,TV Show,,"Aug 28, 2020",11,108
2020-09-08,3,3,-,"Love, Guaranteed",Movie,Yes,"Sep 3, 2020",5,41
2020-09-08,4,4,-,Due Date,Movie,,"Sep 1, 2020",7,40
2020-09-08,5,5,-,The Smurfs,Movie,,"Sep 1, 2020",7,54
2020-09-08,6,6,-,Chefâs Table: BBQ,TV Show,Yes,"Sep 2, 2020",6,25
2020-09-08,7,7,-,"Sister, Sister",TV Show,,"Sep 1, 2020",7,41
2020-09-08,8,8,3,Lucifer,TV Show,,"Dec 15, 2018",18,132
2020-09-08,9,9,-,Anaconda,Movie,,"Sep 1, 2020",2,4
2020-09-08,10,10,-,Puss in Boots,Movie,,"Sep 1, 2020",2,2
2020-09-09,1,1,-,Away,TV Show,Yes,"Sep 4, 2020",5,46
2020-09-09,2,2,1,Cobra Kai,TV Show,,"Aug 28, 2020",12,117
2020-09-09,3,3,-,"Love, Guaranteed",Movie,Yes,"Sep 3, 2020",6,49
2020-09-09,4,-,-,#Alive,Movie,Yes,"Sep 8, 2020",1,7
2020-09-09,5,5,2,The Smurfs,Movie,,"Sep 1, 2020",8,60
2020-09-09,6,4,10,Due Date,Movie,,"Sep 1, 2020",8,45
2020-09-09,7,7,3,"Sister, Sister",TV Show,,"Sep 1, 2020",8,45
2020-09-09,8,8,4,Lucifer,TV Show,,"Dec 15, 2018",19,135
2020-09-09,9,6,-,Chefâs Table: BBQ,TV Show,Yes,"Sep 2, 2020",7,27
2020-09-09,10,-,7,Cocomelon,TV Show,,"Jun 1, 2020",11,24
2020-09-10,1,1,-,Away,TV Show,Yes,"Sep 4, 2020",6,56
2020-09-10,2,2,1,Cobra Kai,TV Show,,"Aug 28, 2020",13,126
2020-09-10,3,4,-,#Alive,Movie,Yes,"Sep 8, 2020",2,15
2020-09-10,4,-,-,Get Organized with The Home…,TV Show,Yes,"Sep 9, 2020",1,7
2020-09-10,5,3,-,"Love, Guaranteed",Movie,Yes,"Sep 3, 2020",7,55
2020-09-10,6,5,2,The Smurfs,Movie,,"Sep 1, 2020",9,65
2020-09-10,7,7,3,"Sister, Sister",TV Show,,"Sep 1, 2020",9,49
2020-09-10,8,6,4,Due Date,Movie,,"Sep 1, 2020",9,48
2020-09-10,9,10,8,Cocomelon,TV Show,,"Jun 1, 2020",12,26
2020-09-10,10,8,5,Lucifer,TV Show,,"Dec 15, 2018",20,136
2020-09-11,1,1,-,Away,TV Show,Yes,"Sep 4, 2020",7,66
2020-09-11,2,-,-,The Babysitter: Killer Queen,Movie,Yes,"Sep 10, 2020",1,9
2020-09-11,3,2,1,Cobra Kai,TV Show,,"Aug 28, 2020",14,134
2020-09-11,4,4,-,Get Organized with The Home…,TV Show,Yes,"Sep 9, 2020",2,14
2020-09-11,5,3,-,#Alive,Movie,Yes,"Sep 8, 2020",3,21
2020-09-11,6,9,10,Cocomelon,TV Show,,"Jun 1, 2020",13,31
2020-09-11,7,5,3,"Love, Guaranteed",Movie,Yes,"Sep 3, 2020",8,59
2020-09-11,8,7,4,"Sister, Sister",TV Show,,"Sep 1, 2020",10,52
2020-09-11,9,-,-,The Social Dilemma,Movie,Yes,"Sep 9, 2020",1,2
2020-09-11,10,6,2,The Smurfs,Movie,,"Sep 1, 2020",10,66
2020-09-12,1,1,4,Away,TV Show,Yes,"Sep 4, 2020",8,76
2020-09-12,2,2,-,The Babysitter: Killer Queen,Movie,Yes,"Sep 10, 2020",2,18
2020-09-12,3,3,1,Cobra Kai,TV Show,,"Aug 28, 2020",15,142
2020-09-12,4,-,-,Pets United,Movie,Yes,"Sep 11, 2020",1,7
2020-09-12,5,4,-,Get Organized with The Home…,TV Show,Yes,"Sep 9, 2020",3,20
2020-09-12,6,5,-,#Alive,Movie,Yes,"Sep 8, 2020",4,26
2020-09-12,7,-,-,Girlfriends,TV Show,,"Sep 11, 2020",1,4
2020-09-12,8,-,-,Cuties,Movie,Yes,"Sep 9, 2020",1,3
2020-09-12,9,9,-,The Social Dilemma,Movie,Yes,"Sep 9, 2020",2,4
2020-09-12,10,-,-,Julie and the Phantoms,TV Show,Yes,"Sep 10, 2020",1,1
2020-09-13,1,1,2,Away,TV Show,Yes,"Sep 4, 2020",9,86
2020-09-13,2,4,-,Pets United,Movie,Yes,"Sep 11, 2020",2,16
2020-09-13,3,2,-,The Babysitter: Killer Queen,Movie,Yes,"Sep 10, 2020",3,26
2020-09-13,4,3,1,Cobra Kai,TV Show,,"Aug 28, 2020",16,149
2020-09-13,5,5,-,Get Organized with The Home…,TV Show,Yes,"Sep 9, 2020",4,26
2020-09-13,6,6,-,#Alive,Movie,Yes,"Sep 8, 2020",5,31
2020-09-13,7,9,-,The Social Dilemma,Movie,Yes,"Sep 9, 2020",3,8
2020-09-13,8,8,-,Cuties,Movie,Yes,"Sep 9, 2020",2,6
2020-09-13,9,7,-,Girlfriends,TV Show,,"Sep 11, 2020",2,6
2020-09-13,10,10,-,Julie and the Phantoms,TV Show,Yes,"Sep 10, 2020",2,2
2020-09-14,1,1,1,Away,TV Show,Yes,"Sep 4, 2020",10,96
2020-09-14,2,2,-,Pets United,Movie,Yes,"Sep 11, 2020",3,25
2020-09-14,3,4,2,Cobra Kai,TV Show,,"Aug 28, 2020",17,157
2020-09-14,4,3,-,The Babysitter: Killer Queen,Movie,Yes,"Sep 10, 2020",4,33
2020-09-14,5,5,-,Get Organized with The Home…,TV Show,Yes,"Sep 9, 2020",5,32
2020-09-14,6,7,-,The Social Dilemma,Movie,Yes,"Sep 9, 2020",4,13
2020-09-14,7,8,-,Cuties,Movie,Yes,"Sep 9, 2020",3,10
2020-09-14,8,6,-,#Alive,Movie,Yes,"Sep 8, 2020",6,34
2020-09-14,9,9,-,Girlfriends,TV Show,,"Sep 11, 2020",3,8
2020-09-14,10,10,-,Julie and the Phantoms,TV Show,Yes,"Sep 10, 2020",3,3
2020-09-15,1,1,1,Away,TV Show,Yes,"Sep 4, 2020",11,106
2020-09-15,2,2,-,Pets United,Movie,Yes,"Sep 11, 2020",4,34
2020-09-15,3,3,2,Cobra Kai,TV Show,,"Aug 28, 2020",18,165
2020-09-15,4,6,-,The Social Dilemma,Movie,Yes,"Sep 9, 2020",5,20
2020-09-15,5,5,-,Get Organized with The Home…,TV Show,Yes,"Sep 9, 2020",6,38
2020-09-15,6,4,-,The Babysitter: Killer Queen,Movie,Yes,"Sep 10, 2020",5,38
2020-09-15,7,7,-,Cuties,Movie,Yes,"Sep 9, 2020",4,14
2020-09-15,8,9,-,Girlfriends,TV Show,,"Sep 11, 2020",4,11
2020-09-15,9,-,-,Cocomelon,TV Show,,"Jun 1, 2020",14,33
2020-09-15,10,10,-,Julie and the Phantoms,TV Show,Yes,"Sep 10, 2020",4,4
2020-09-16,1,1,1,Away,TV Show,Yes,"Sep 4, 2020",12,116
2020-09-16,2,3,2,Cobra Kai,TV Show,,"Aug 28, 2020",19,174
2020-09-16,3,2,-,Pets United,Movie,Yes,"Sep 11, 2020",5,42
2020-09-16,4,4,-,The Social Dilemma,Movie,Yes,"Sep 9, 2020",6,27
2020-09-16,5,5,-,Get Organized with The Home…,TV Show,Yes,"Sep 9, 2020",7,44
2020-09-16,6,6,-,The Babysitter: Killer Queen,Movie,Yes,"Sep 10, 2020",6,43
2020-09-16,7,7,-,Cuties,Movie,Yes,"Sep 9, 2020",5,18
2020-09-16,8,-,-,Ancient Aliens,TV Show,,"Sep 17, 2019",1,3
2020-09-16,9,9,10,Cocomelon,TV Show,,"Jun 1, 2020",15,35
2020-09-16,10,-,-,How to Train Your Dragon 2,Movie,,"Sep 11, 2020",1,1
2020-09-17,1,-,-,The Devil All the Time,Movie,Yes,"Sep 16, 2020",1,10
2020-09-17,2,1,1,Away,TV Show,Yes,"Sep 4, 2020",13,125
2020-09-17,3,2,2,Cobra Kai,TV Show,,"Aug 28, 2020",20,182
2020-09-17,4,4,-,The Social Dilemma,Movie,Yes,"Sep 9, 2020",7,34
2020-09-17,5,3,-,Pets United,Movie,Yes,"Sep 11, 2020",6,48
2020-09-17,6,-,-,The Smurfs 2,Movie,,"Sep 15, 2020",1,5
2020-09-17,7,-,-,Challenger: The Final Flight,TV Show,Yes,"Sep 16, 2020",1,4
2020-09-17,8,5,4,Get Organized with The Home…,TV Show,Yes,"Sep 9, 2020",8,47
2020-09-17,9,-,-,The Paramedic,Movie,Yes,"Sep 16, 2020",1,2
2020-09-17,10,8,-,Ancient Aliens,TV Show,,"Sep 17, 2019",2,4
2020-09-18,1,1,-,The Devil All the Time,Movie,Yes,"Sep 16, 2020",2,20
2020-09-18,2,2,1,Away,TV Show,Yes,"Sep 4, 2020",14,134
2020-09-18,3,6,-,The Smurfs 2,Movie,,"Sep 15, 2020",2,13
2020-09-18,4,7,-,Challenger: The Final Flight,TV Show,Yes,"Sep 16, 2020",2,11
2020-09-18,5,3,3,Cobra Kai,TV Show,,"Aug 28, 2020",21,188
2020-09-18,6,4,9,The Social Dilemma,Movie,Yes,"Sep 9, 2020",8,39
2020-09-18,7,9,-,The Paramedic,Movie,Yes,"Sep 16, 2020",2,6
2020-09-18,8,5,-,Pets United,Movie,Yes,"Sep 11, 2020",7,51
2020-09-18,9,8,4,Get Organized with The Home…,TV Show,Yes,"Sep 9, 2020",9,49
2020-09-18,10,-,-,The Take,Movie,,"Sep 16, 2020",1,1
2020-09-19,1,-,-,Ratched,TV Show,Yes,"Sep 18, 2020",1,10
2020-09-19,2,-,-,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",1,9
2020-09-19,3,3,-,The Smurfs 2,Movie,,"Sep 15, 2020",3,21
2020-09-19,4,1,-,The Devil All the Time,Movie,Yes,"Sep 16, 2020",3,27
2020-09-19,5,10,-,The Take,Movie,,"Sep 16, 2020",2,7
2020-09-19,6,2,1,Away,TV Show,Yes,"Sep 4, 2020",15,139
2020-09-19,7,5,3,Cobra Kai,TV Show,,"Aug 28, 2020",22,192
2020-09-19,8,4,-,Challenger: The Final Flight,TV Show,Yes,"Sep 16, 2020",3,14
2020-09-19,9,6,9,The Social Dilemma,Movie,Yes,"Sep 9, 2020",9,41
2020-09-19,10,8,4,Pets United,Movie,Yes,"Sep 11, 2020",8,52
2020-09-20,1,1,-,Ratched,TV Show,Yes,"Sep 18, 2020",2,20
2020-09-20,2,2,-,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",2,18
2020-09-20,3,5,-,The Take,Movie,,"Sep 16, 2020",3,15
2020-09-20,4,3,-,The Smurfs 2,Movie,,"Sep 15, 2020",4,28
2020-09-20,5,4,-,The Devil All the Time,Movie,Yes,"Sep 16, 2020",4,33
2020-09-20,6,6,1,Away,TV Show,Yes,"Sep 4, 2020",16,144
2020-09-20,7,9,7,The Social Dilemma,Movie,Yes,"Sep 9, 2020",10,45
2020-09-20,8,7,4,Cobra Kai,TV Show,,"Aug 28, 2020",23,195
2020-09-20,9,8,-,Challenger: The Final Flight,TV Show,Yes,"Sep 16, 2020",4,16
2020-09-20,10,10,2,Pets United,Movie,Yes,"Sep 11, 2020",9,53
2020-09-21,1,1,-,Ratched,TV Show,Yes,"Sep 18, 2020",3,30
2020-09-21,2,3,-,The Take,Movie,,"Sep 16, 2020",4,24
2020-09-21,3,2,-,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",3,26
2020-09-21,4,4,-,The Smurfs 2,Movie,,"Sep 15, 2020",5,35
2020-09-21,5,5,-,The Devil All the Time,Movie,Yes,"Sep 16, 2020",5,39
2020-09-21,6,8,3,Cobra Kai,TV Show,,"Aug 28, 2020",24,200
2020-09-21,7,7,6,The Social Dilemma,Movie,Yes,"Sep 9, 2020",11,49
2020-09-21,8,6,1,Away,TV Show,Yes,"Sep 4, 2020",17,147
2020-09-21,9,9,-,Challenger: The Final Flight,TV Show,Yes,"Sep 16, 2020",5,18
2020-09-21,10,-,-,The Blacklist,TV Show,,"Sep 15, 2014",1,1
2020-09-22,1,1,-,Ratched,TV Show,Yes,"Sep 18, 2020",4,40
2020-09-22,2,3,-,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",4,35
2020-09-22,3,2,-,The Take,Movie,,"Sep 16, 2020",5,32
2020-09-22,4,4,-,The Smurfs 2,Movie,,"Sep 15, 2020",6,42
2020-09-22,5,6,3,Cobra Kai,TV Show,,"Aug 28, 2020",25,206
2020-09-22,6,5,-,The Devil All the Time,Movie,Yes,"Sep 16, 2020",6,44
2020-09-22,7,8,1,Away,TV Show,Yes,"Sep 4, 2020",18,151
2020-09-22,8,10,-,The Blacklist,TV Show,,"Sep 15, 2014",2,4
2020-09-22,9,7,4,The Social Dilemma,Movie,Yes,"Sep 9, 2020",12,51
2020-09-22,10,-,-,The American Barbecue Showdown,TV Show,Yes,"Sep 18, 2020",1,1
2020-09-23,1,1,-,Ratched,TV Show,Yes,"Sep 18, 2020",5,50
2020-09-23,2,2,-,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",5,44
2020-09-23,3,3,-,The Take,Movie,,"Sep 16, 2020",6,40
2020-09-23,4,4,-,The Smurfs 2,Movie,,"Sep 15, 2020",7,49
2020-09-23,5,5,2,Cobra Kai,TV Show,,"Aug 28, 2020",26,212
2020-09-23,6,8,-,The Blacklist,TV Show,,"Sep 15, 2014",3,9
2020-09-23,7,10,-,The American Barbecue Showdown,TV Show,Yes,"Sep 18, 2020",2,5
2020-09-23,8,7,1,Away,TV Show,Yes,"Sep 4, 2020",19,154
2020-09-23,9,9,4,The Social Dilemma,Movie,Yes,"Sep 9, 2020",13,53
2020-09-23,10,6,-,The Devil All the Time,Movie,Yes,"Sep 16, 2020",7,45
2020-09-24,1,1,-,Ratched,TV Show,Yes,"Sep 18, 2020",6,60
2020-09-24,2,-,-,Enola Holmes,Movie,Yes,"Sep 23, 2020",1,9
2020-09-24,3,2,-,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",6,52
2020-09-24,4,3,-,The Take,Movie,,"Sep 16, 2020",7,47
2020-09-24,5,4,6,The Smurfs 2,Movie,,"Sep 15, 2020",8,55
2020-09-24,6,6,-,The Blacklist,TV Show,,"Sep 15, 2014",4,14
2020-09-24,7,5,3,Cobra Kai,TV Show,,"Aug 28, 2020",27,216
2020-09-24,8,7,-,The American Barbecue Showdown,TV Show,Yes,"Sep 18, 2020",3,8
2020-09-24,9,8,2,Away,TV Show,Yes,"Sep 4, 2020",20,156
2020-09-24,10,-,-,Cocomelon,TV Show,,"Jun 1, 2020",16,36
2020-09-25,1,1,-,Ratched,TV Show,Yes,"Sep 18, 2020",7,70
2020-09-25,2,2,-,Enola Holmes,Movie,Yes,"Sep 23, 2020",2,18
2020-09-25,3,-,-,Real Steel,Movie,,"Sep 24, 2020",1,8
2020-09-25,4,3,-,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",7,59
2020-09-25,5,5,3,The Smurfs 2,Movie,,"Sep 15, 2020",9,61
2020-09-25,6,4,10,The Take,Movie,,"Sep 16, 2020",8,52
2020-09-25,7,6,-,The Blacklist,TV Show,,"Sep 15, 2014",5,18
2020-09-25,8,7,5,Cobra Kai,TV Show,,"Aug 28, 2020",28,219
2020-09-25,9,8,-,The American Barbecue Showdown,TV Show,Yes,"Sep 18, 2020",4,10
2020-09-25,10,10,-,Cocomelon,TV Show,,"Jun 1, 2020",17,37
2020-09-26,1,2,-,Enola Holmes,Movie,Yes,"Sep 23, 2020",3,28
2020-09-26,2,1,1,Ratched,TV Show,Yes,"Sep 18, 2020",8,79
2020-09-26,3,3,-,Real Steel,Movie,,"Sep 24, 2020",2,16
2020-09-26,4,4,2,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",8,66
2020-09-26,5,5,3,The Smurfs 2,Movie,,"Sep 15, 2020",10,67
2020-09-26,6,6,5,The Take,Movie,,"Sep 16, 2020",9,57
2020-09-26,7,-,-,The Great British Baking Show,TV Show,,"Oct 3, 2015",1,4
2020-09-26,8,7,-,The Blacklist,TV Show,,"Sep 15, 2014",6,21
2020-09-26,9,10,-,Cocomelon,TV Show,,"Jun 1, 2020",18,39
2020-09-26,10,8,7,Cobra Kai,TV Show,,"Aug 28, 2020",29,220
2020-09-27,1,1,-,Enola Holmes,Movie,Yes,"Sep 23, 2020",4,38
2020-09-27,2,2,1,Ratched,TV Show,Yes,"Sep 18, 2020",9,88
2020-09-27,3,3,-,Real Steel,Movie,,"Sep 24, 2020",3,24
2020-09-27,4,4,2,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",9,73
2020-09-27,5,6,3,The Take,Movie,,"Sep 16, 2020",10,63
2020-09-27,6,5,4,The Smurfs 2,Movie,,"Sep 15, 2020",11,72
2020-09-27,7,-,-,The Good Place,TV Show,,"Aug 21, 2017",1,4
2020-09-27,8,10,8,Cobra Kai,TV Show,,"Aug 28, 2020",30,223
2020-09-27,9,9,-,Cocomelon,TV Show,,"Jun 1, 2020",19,41
2020-09-27,10,-,-,Sneakerheads,TV Show,Yes,"Sep 25, 2020",1,1
2020-09-28,1,2,1,Ratched,TV Show,Yes,"Sep 18, 2020",10,98
2020-09-28,2,1,-,Enola Holmes,Movie,Yes,"Sep 23, 2020",5,47
2020-09-28,3,3,-,Real Steel,Movie,,"Sep 24, 2020",4,32
2020-09-28,4,7,-,The Good Place,TV Show,,"Aug 21, 2017",2,11
2020-09-28,5,4,3,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",10,79
2020-09-28,6,-,-,Bad Teacher,Movie,,"Sep 27, 2020",1,5
2020-09-28,7,10,-,Sneakerheads,TV Show,Yes,"Sep 25, 2020",2,5
2020-09-28,8,5,2,The Take,Movie,,"Sep 16, 2020",11,66
2020-09-28,9,6,4,The Smurfs 2,Movie,,"Sep 15, 2020",12,74
2020-09-28,10,8,6,Cobra Kai,TV Show,,"Aug 28, 2020",31,224
2020-09-29,1,1,1,Ratched,TV Show,Yes,"Sep 18, 2020",11,108
2020-09-29,2,2,-,Enola Holmes,Movie,Yes,"Sep 23, 2020",6,56
2020-09-29,3,3,-,Real Steel,Movie,,"Sep 24, 2020",5,40
2020-09-29,4,6,-,Bad Teacher,Movie,,"Sep 27, 2020",2,12
2020-09-29,5,4,-,The Good Place,TV Show,,"Aug 21, 2017",3,17
2020-09-29,6,5,2,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",11,84
2020-09-29,7,7,-,Sneakerheads,TV Show,Yes,"Sep 25, 2020",3,9
2020-09-29,8,-,-,Cocomelon,TV Show,,"Jun 1, 2020",20,44
2020-09-29,9,10,5,Cobra Kai,TV Show,,"Aug 28, 2020",32,226
2020-09-29,10,-,8,The Blacklist,TV Show,,"Sep 15, 2014",7,22
2020-09-30,1,1,1,Ratched,TV Show,Yes,"Sep 18, 2020",12,118
2020-09-30,2,4,-,Bad Teacher,Movie,,"Sep 27, 2020",3,21
2020-09-30,3,2,-,Enola Holmes,Movie,Yes,"Sep 23, 2020",7,64
2020-09-30,4,3,-,Real Steel,Movie,,"Sep 24, 2020",6,47
2020-09-30,5,5,-,The Good Place,TV Show,,"Aug 21, 2017",4,23
2020-09-30,6,6,2,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",12,89
2020-09-30,7,8,-,Cocomelon,TV Show,,"Jun 1, 2020",21,48
2020-09-30,8,7,-,Sneakerheads,TV Show,Yes,"Sep 25, 2020",4,12
2020-09-30,9,10,6,The Blacklist,TV Show,,"Sep 15, 2014",8,24
2020-09-30,10,9,5,Cobra Kai,TV Show,,"Aug 28, 2020",33,227
2020-10-01,1,-,-,American Murder: The Family…,Movie,Yes,"Sep 30, 2020",1,10
2020-10-01,2,1,1,Ratched,TV Show,Yes,"Sep 18, 2020",13,127
2020-10-01,3,2,-,Bad Teacher,Movie,,"Sep 27, 2020",4,29
2020-10-01,4,3,2,Enola Holmes,Movie,Yes,"Sep 23, 2020",8,71
2020-10-01,5,5,-,The Good Place,TV Show,,"Aug 21, 2017",5,29
2020-10-01,6,4,-,Real Steel,Movie,,"Sep 24, 2020",7,52
2020-10-01,7,-,-,Welcome to Sudden Death,Movie,,"Sep 29, 2020",1,4
2020-10-01,8,7,10,Cocomelon,TV Show,,"Jun 1, 2020",22,51
2020-10-01,9,6,3,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",13,91
2020-10-01,10,-,-,Wentworth,TV Show,Yes,"Nov 8, 2014",1,1
2020-10-02,1,1,-,American Murder: The Family…,Movie,Yes,"Sep 30, 2020",2,20
2020-10-02,2,2,1,Ratched,TV Show,Yes,"Sep 18, 2020",14,136
2020-10-02,3,-,-,The Outpost,Movie,,"Oct 1, 2020",1,8
2020-10-02,4,4,2,Enola Holmes,Movie,Yes,"Sep 23, 2020",9,78
2020-10-02,5,5,-,The Good Place,TV Show,,"Aug 21, 2017",6,35
2020-10-02,6,7,-,Welcome to Sudden Death,Movie,,"Sep 29, 2020",2,9
2020-10-02,7,10,-,Wentworth,TV Show,Yes,"Nov 8, 2014",2,5
2020-10-02,8,3,-,Bad Teacher,Movie,,"Sep 27, 2020",5,32
2020-10-02,9,-,-,Yogi Bear,Movie,,"Oct 1, 2020",1,2
2020-10-02,10,8,10,Cocomelon,TV Show,,"Jun 1, 2020",23,52
2020-10-03,1,1,-,American Murder: The Family…,Movie,Yes,"Sep 30, 2020",3,30
2020-10-03,2,2,2,Ratched,TV Show,Yes,"Sep 18, 2020",15,145
2020-10-03,3,3,-,The Outpost,Movie,,"Oct 1, 2020",2,16
2020-10-03,4,-,-,Emily in Paris,TV Show,Yes,"Oct 2, 2020",1,7
2020-10-03,5,4,1,Enola Holmes,Movie,Yes,"Sep 23, 2020",10,84
2020-10-03,6,6,-,Welcome to Sudden Death,Movie,,"Sep 29, 2020",3,14
2020-10-03,7,-,7,The Great British Baking Show,TV Show,,"Oct 3, 2015",2,8
2020-10-03,8,7,-,Wentworth,TV Show,Yes,"Nov 8, 2014",3,8
2020-10-03,9,5,-,The Good Place,TV Show,,"Aug 21, 2017",7,37
2020-10-03,10,10,9,Cocomelon,TV Show,,"Jun 1, 2020",24,53
2020-10-04,1,1,-,American Murder: The Family…,Movie,Yes,"Sep 30, 2020",4,40
2020-10-04,2,4,-,Emily in Paris,TV Show,Yes,"Oct 2, 2020",2,16
2020-10-04,3,2,2,Ratched,TV Show,Yes,"Sep 18, 2020",16,153
2020-10-04,4,3,-,The Outpost,Movie,,"Oct 1, 2020",3,23
2020-10-04,5,-,-,Schittâs Creek,TV Show,,"Jan 24, 2017",1,6
2020-10-04,6,5,1,Enola Holmes,Movie,Yes,"Sep 23, 2020",11,89
2020-10-04,7,6,-,Welcome to Sudden Death,Movie,,"Sep 29, 2020",4,18
2020-10-04,8,8,-,Wentworth,TV Show,Yes,"Nov 8, 2014",4,11
2020-10-04,9,-,-,Yogi Bear,Movie,,"Oct 1, 2020",2,4
2020-10-04,10,10,9,Cocomelon,TV Show,,"Jun 1, 2020",25,54
2020-10-05,1,1,-,American Murder: The Family…,Movie,Yes,"Sep 30, 2020",5,50
2020-10-05,2,2,-,Emily in Paris,TV Show,Yes,"Oct 2, 2020",3,25
2020-10-05,3,5,-,Schittâs Creek,TV Show,,"Jan 24, 2017",2,14
2020-10-05,4,3,1,Ratched,TV Show,Yes,"Sep 18, 2020",17,160
2020-10-05,5,-,-,Evil,TV Show,,"Oct 1, 2020",1,6
2020-10-05,6,4,-,The Outpost,Movie,,"Oct 1, 2020",4,28
2020-10-05,7,6,2,Enola Holmes,Movie,Yes,"Sep 23, 2020",12,93
2020-10-05,8,9,-,Yogi Bear,Movie,,"Oct 1, 2020",3,7
2020-10-05,9,7,-,Welcome to Sudden Death,Movie,,"Sep 29, 2020",5,20
2020-10-05,10,10,-,Cocomelon,TV Show,,"Jun 1, 2020",26,55
2020-10-06,1,1,-,American Murder: The Family…,Movie,Yes,"Sep 30, 2020",6,60
2020-10-06,2,2,-,Emily in Paris,TV Show,Yes,"Oct 2, 2020",4,34
2020-10-06,3,3,-,Schittâs Creek,TV Show,,"Jan 24, 2017",3,22
2020-10-06,4,4,1,Ratched,TV Show,Yes,"Sep 18, 2020",18,167
2020-10-06,5,5,-,Evil,TV Show,,"Oct 1, 2020",2,12
2020-10-06,6,-,-,Big Daddy,Movie,,"Oct 1, 2020",1,5
2020-10-06,7,6,-,The Outpost,Movie,,"Oct 1, 2020",5,32
2020-10-06,8,-,-,Colombiana,Movie,,"Oct 4, 2020",1,3
2020-10-06,9,10,8,Cocomelon,TV Show,,"Jun 1, 2020",27,57
2020-10-06,10,8,-,Yogi Bear,Movie,,"Oct 1, 2020",4,8
2020-10-07,1,1,-,American Murder: The Family…,Movie,Yes,"Sep 30, 2020",7,70
2020-10-07,2,2,-,Emily in Paris,TV Show,Yes,"Oct 2, 2020",5,43
2020-10-07,3,3,-,Schittâs Creek,TV Show,,"Jan 24, 2017",4,30
2020-10-07,4,5,-,Evil,TV Show,,"Oct 1, 2020",3,19
